asv	SRR12576537	SRR12576538	SRR12576539	SRR12576540	SRR12576541	SRR12576542
ASV_01	9	0	0	0	0	0
ASV_02	8	0	0	0	0	0
ASV_03	6	0	0	0	0	0
ASV_04	0	6	0	0	0	0
ASV_05	0	0	6	0	0	0
ASV_06	0	0	6	0	0	0
ASV_07	0	5	0	0	0	0
ASV_08	0	5	0	0	0	0
ASV_09	4	0	0	0	0	0
ASV_10	4	0	0	0	0	0
ASV_11	4	0	0	0	0	0
ASV_12	2	0	2	0	0	0
ASV_13	0	0	4	0	0	0
ASV_14	0	0	0	0	0	4
ASV_15	0	3	0	0	0	0
ASV_16	0	3	0	0	0	0
ASV_17	0	3	0	0	0	0
ASV_18	0	3	0	0	0	0
ASV_19	0	0	3	0	0	0
ASV_20	0	0	0	3	0	0
ASV_21	0	0	0	0	0	3
ASV_22	2	0	0	0	0	0
ASV_23	2	0	0	0	0	0
ASV_24	2	0	0	0	0	0
ASV_25	2	0	0	0	0	0
ASV_26	2	0	0	0	0	0
ASV_27	0	2	0	0	0	0
ASV_28	0	2	0	0	0	0
ASV_29	0	2	0	0	0	0
ASV_30	0	2	0	0	0	0
ASV_31	0	2	0	0	0	0
ASV_32	0	2	0	0	0	0
ASV_33	0	0	2	0	0	0
ASV_34	0	0	2	0	0	0
ASV_35	0	0	2	0	0	0
ASV_36	0	0	2	0	0	0
ASV_37	0	0	2	0	0	0
ASV_38	0	0	2	0	0	0
ASV_39	0	0	2	0	0	0
ASV_40	0	0	2	0	0	0
ASV_41	0	0	2	0	0	0
ASV_42	0	0	2	0	0	0
ASV_43	0	0	0	2	0	0
ASV_44	0	0	0	2	0	0
ASV_45	0	0	0	0	2	0
ASV_46	0	0	0	0	0	2
ASV_47	0	1	0	0	0	0
ASV_48	0	1	0	0	0	0
ASV_49	0	1	0	0	0	0
ASV_50	0	1	0	0	0	0
ASV_51	0	0	1	0	0	0
ASV_52	0	0	1	0	0	0
ASV_53	0	0	1	0	0	0
ASV_54	0	0	1	0	0	0
ASV_55	0	0	1	0	0	0
ASV_56	0	0	0	0	0	1
